date,city,tmax,tmin
2025-04-20,New York,73.04,55.04
2025-04-21,New York,57.02,50.0
2025-04-22,New York,82.04,53.06
2025-04-23,New York,75.92,53.96
2025-04-24,New York,77.0,55.94
2025-04-25,New York,77.0,60.08
2025-04-26,New York,73.94,53.06
2025-04-27,New York,59.0,48.02
2025-04-28,New York,75.92,51.08
2025-04-29,New York,78.98,55.94
2025-04-30,New York,73.04,59.0
2025-05-01,New York,71.06,51.980000000000004
2025-05-02,New York,84.02000000000001,57.02
2025-05-03,New York,84.92,62.959999999999994
2025-05-04,New York,69.08,60.08
2025-05-05,New York,60.980000000000004,57.02
2025-05-06,New York,64.04,57.02
2025-05-07,New York,73.94,55.04
2025-05-08,New York,78.08,60.08
2025-05-09,New York,60.08,51.08
2025-05-10,New York,71.96000000000001,50.0
2025-05-11,New York,77.0,57.92
2025-05-12,New York,71.96000000000001,57.02
2025-05-13,New York,69.08,57.92
2025-05-14,New York,62.059999999999995,55.94
2025-05-15,New York,69.08,59.0
2025-05-16,New York,71.96000000000001,60.980000000000004
2025-05-17,New York,82.04,62.959999999999994
2025-05-18,New York,73.04,60.980000000000004
2025-05-19,New York,69.08,51.08
2025-05-20,New York,66.92,48.92
2025-05-21,New York,59.0,48.92
2025-05-22,New York,51.08,48.02
2025-05-23,New York,62.959999999999994,46.94
2025-05-24,New York,64.04,48.02
2025-05-25,New York,66.02000000000001,51.980000000000004
2025-05-26,New York,73.04,51.980000000000004
2025-05-27,New York,73.94,57.02
2025-05-28,New York,64.94,51.980000000000004
2025-05-29,New York,66.92,55.04
2025-05-30,New York,75.02000000000001,62.059999999999995
2025-05-31,New York,66.92,53.06
2025-06-01,New York,66.02000000000001,50.0
2025-06-02,New York,71.06,53.06
2025-06-03,New York,78.98,55.94
2025-06-04,New York,82.94,62.059999999999995
2025-06-05,New York,87.08000000000001,69.98
2025-06-06,New York,84.02000000000001,71.06
2025-06-07,New York,75.92,66.02000000000001
2025-06-08,New York,75.92,62.959999999999994
2025-06-09,New York,64.04,62.059999999999995
2025-06-10,New York,73.04,62.059999999999995
2025-06-11,New York,80.96000000000001,64.94
2025-06-12,New York,87.08000000000001,69.98
2025-06-13,New York,78.08,66.92
2025-06-14,New York,68.0,59.0
2025-06-15,New York,64.04,59.0
2025-06-16,New York,69.08,60.08
2025-06-17,New York,66.92,62.059999999999995
2025-06-18,New York,84.02000000000001,64.94
2025-06-19,New York,87.98,69.98
2025-06-20,New York,82.04,66.92
2025-06-21,New York,86.0,71.96000000000001
2025-06-22,New York,87.98,71.06
2025-06-23,New York,96.08000000000001,80.06
2025-06-24,New York,98.96000000000001,80.96000000000001
2025-06-25,New York,96.08000000000001,80.96000000000001
2025-06-26,New York,84.92,66.02000000000001
2025-06-27,New York,71.96000000000001,62.059999999999995
2025-06-28,New York,82.94,62.959999999999994
2025-06-29,New York,89.06,77.0
2025-06-30,New York,89.96000000000001,71.06
2025-07-01,New York,89.06,71.96000000000001
2025-07-02,New York,84.02000000000001,71.06
2025-07-03,New York,87.98,69.08
2025-07-04,New York,82.94,66.92
2025-07-05,New York,84.02000000000001,68.0
2025-07-06,New York,87.08000000000001,71.96000000000001
2025-07-07,New York,87.08000000000001,75.92
2025-07-08,New York,93.02,73.04
2025-07-09,New York,89.96000000000001,73.04
2025-07-10,New York,84.02000000000001,69.98
2025-07-11,New York,84.02000000000001,73.04
2025-07-12,New York,82.94,73.94
2025-07-13,New York,82.94,71.06
2025-07-14,New York,84.92,73.04
2025-07-15,New York,86.0,71.96000000000001
2025-07-16,New York,87.08000000000001,77.0
2025-04-20,Chicago,59.0,44.96
2025-04-21,Chicago,60.980000000000004,44.96
2025-04-22,Chicago,73.94,41.0
2025-04-23,Chicago,75.92,55.94
2025-04-24,Chicago,75.02000000000001,51.08
2025-04-25,Chicago,59.0,46.94
2025-04-26,Chicago,53.96,41.0
2025-04-27,Chicago,69.08,39.02
2025-04-28,Chicago,84.02000000000001,53.06
2025-04-29,Chicago,77.0,50.0
2025-04-30,Chicago,60.980000000000004,44.06
2025-05-01,Chicago,68.0,51.08
2025-05-02,Chicago,57.02,46.04
2025-05-03,Chicago,53.96,44.06
2025-05-04,Chicago,59.0,44.96
2025-05-05,Chicago,60.980000000000004,46.94
2025-05-06,Chicago,77.0,46.94
2025-05-07,Chicago,75.02000000000001,48.02
2025-05-08,Chicago,57.92,41.0
2025-05-09,Chicago,66.92,37.04
2025-05-10,Chicago,73.04,46.04
2025-05-11,Chicago,71.06,42.08
2025-05-12,Chicago,80.06,48.02
2025-05-13,Chicago,78.08,57.92
2025-05-14,Chicago,80.06,55.94
2025-05-15,Chicago,93.91999999999999,57.02
2025-05-16,Chicago,87.98,60.08
2025-05-17,Chicago,71.06,53.96
2025-05-18,Chicago,64.04,44.96
2025-05-19,Chicago,55.04,42.980000000000004
2025-05-20,Chicago,55.94,48.02
2025-05-21,Chicago,51.980000000000004,48.02
2025-05-22,Chicago,57.02,46.04
2025-05-23,Chicago,64.94,42.08
2025-05-24,Chicago,66.02000000000001,44.06
2025-05-25,Chicago,66.02000000000001,46.94
2025-05-26,Chicago,66.92,46.04
